id,timestamp,bpm,systolic,diastolic,stress_level,patient_id,session_id,notes
1,2026-01-09T20:04:35.107815+00:00,72,120,80,0.2,,,Test normal sample
2,2026-01-09T20:04:37.552920+00:00,125,145,95,0.85,,,Test stress sample
3,2026-01-09T20:20:26.406588+00:00,86,,,0.157,,,"Auto-collected, Var: 0.193"
4,2026-01-09T20:20:28.071596+00:00,81,,,0.112,,,"Auto-collected, Var: 0.937"
5,2026-01-09T20:20:30.094334+00:00,80,,,0.08,,,"Auto-collected, Var: 0.855"
6,2026-01-09T20:20:32.079275+00:00,78,,,0.058,,,"Auto-collected, Var: 0.470"
7,2026-01-09T20:20:34.089660+00:00,103,,,0.918,,,"Auto-collected, Var: 1.245"
8,2026-01-09T20:20:36.074392+00:00,115,,,0.84,,,"Auto-collected, Var: 1.316"
9,2026-01-09T20:20:38.076552+00:00,119,,,0.822,,,"Auto-collected, Var: 1.416"
10,2026-01-09T20:20:40.079231+00:00,111,,,0.589,,,"Auto-collected, Var: 1.042"
11,2026-01-09T20:20:42.069592+00:00,106,,,0.422,,,"Auto-collected, Var: 0.380"
12,2026-01-09T20:20:44.084690+00:00,98,,,0.302,,,"Auto-collected, Var: 0.645"
13,2026-01-09T20:20:46.084362+00:00,93,,,0.235,,,"Auto-collected, Var: 1.056"
14,2026-01-09T20:20:48.079481+00:00,85,,,0.169,,,"Auto-collected, Var: 0.732"
15,2026-01-09T20:20:50.071796+00:00,84,,,0.121,,,"Auto-collected, Var: 1.997"
16,2026-01-09T20:20:52.081309+00:00,78,,,0.087,,,"Auto-collected, Var: 0.811"
17,2026-01-09T20:20:54.086729+00:00,79,,,0.062,,,"Auto-collected, Var: 2.262"
18,2026-01-09T20:20:56.076269+00:00,74,,,0.044,,,"Auto-collected, Var: 1.753"
19,2026-01-09T20:20:58.486464+00:00,77,,,0.029,,,"Auto-collected, Var: 2.065"
20,2026-01-09T20:21:00.114428+00:00,75,,,0.023,,,"Auto-collected, Var: 1.395"
21,2026-01-09T20:21:02.079438+00:00,91,,,0.918,,,"Auto-collected, Var: 1.018"
22,2026-01-09T20:21:04.079361+00:00,111,,,0.894,,,"Auto-collected, Var: 0.605"
23,2026-01-09T20:21:06.079561+00:00,115,,,0.762,,,"Auto-collected, Var: 0.393"
24,2026-01-09T20:21:08.084469+00:00,110,,,0.592,,,"Auto-collected, Var: 0.842"
25,2026-01-09T20:21:10.081372+00:00,102,,,0.424,,,"Auto-collected, Var: 1.412"
26,2026-01-09T20:21:12.074630+00:00,97,,,0.33,,,"Auto-collected, Var: 0.846"
27,2026-01-09T20:21:14.069656+00:00,92,,,0.237,,,"Auto-collected, Var: 0.688"
28,2026-01-09T20:21:16.071498+00:00,84,,,0.17,,,"Auto-collected, Var: 1.782"
29,2026-01-09T20:21:18.081247+00:00,81,,,0.121,,,"Auto-collected, Var: 0.456"
