collected_at,timestamp,bpm,systolic,diastolic,stress_level,variability,state,prediction,confidence,stress_score
2026-01-10T04:27:55.332400,2026-01-10T04:27:55.012606,78,119,79,0.052,1.344,running,Normal,1.0,0.0
2026-01-10T04:27:55.592342,2026-01-10T04:27:55.365674,75,119,81,0.048,1.125,running,Normal,1.0,0.0
2026-01-10T04:27:55.847038,2026-01-10T04:27:55.710449,76,121,79,0.044,0.321,running,Normal,1.0,0.0
2026-01-10T04:27:56.110920,2026-01-10T04:27:56.045536,92,151,95,0.92,0.671,running,,,
2026-01-10T04:27:56.364754,2026-01-10T04:27:56.045536,92,151,95,0.92,0.671,running,Normal,0.86,0.14
2026-01-10T04:27:56.630301,2026-01-10T04:27:56.363810,106,150,95,0.92,0.958,running,Normal,0.863529411764706,0.13647058823529412
2026-01-10T04:27:56.890591,2026-01-10T04:27:56.691474,115,149,94,0.961,1.148,running,Stress,1.0,1.0
2026-01-10T04:27:57.147299,2026-01-10T04:27:57.011667,121,146,93,0.961,1.134,running,Stress,1.0,1.0
2026-01-10T04:27:57.404393,2026-01-10T04:27:57.322826,121,149,97,0.961,0.68,running,Stress,1.0,1.0
2026-01-10T04:27:57.667173,2026-01-10T04:27:57.645743,124,151,93,0.961,0.005,running,,,
2026-01-10T04:27:57.923969,2026-01-10T04:27:57.645743,124,151,93,0.961,0.005,running,Stress,1.0,1.0
2026-01-10T04:27:58.188166,2026-01-10T04:27:57.977859,128,150,97,0.961,0.982,running,Stress,1.0,1.0
2026-01-10T04:27:58.452369,2026-01-10T04:27:58.297822,128,145,95,0.961,0.714,running,Stress,1.0,1.0
2026-01-10T04:27:58.716563,2026-01-10T04:27:58.628771,126,150,95,0.961,0.844,running,Stress,1.0,1.0
2026-01-10T04:27:58.983052,2026-01-10T04:27:58.948380,128,151,94,0.961,0.073,running,,,
2026-01-10T04:27:59.241565,2026-01-10T04:27:58.948380,128,151,94,0.961,0.073,running,Stress,1.0,1.0
2026-01-10T04:27:59.500177,2026-01-10T04:27:59.285175,130,147,95,0.961,0.709,running,Stress,1.0,1.0
2026-01-10T04:27:59.758116,2026-01-10T04:27:59.617402,131,146,94,0.97,0.992,running,Stress,1.0,1.0
2026-01-10T04:28:00.015284,2026-01-10T04:27:59.936623,127,154,95,0.97,0.955,running,Stress,1.0,1.0
2026-01-10T04:28:00.277499,2026-01-10T04:28:00.261804,129,145,96,0.97,0.062,running,,,
2026-01-10T04:28:00.548345,2026-01-10T04:28:00.261804,129,145,96,0.97,0.062,running,Stress,1.0,1.0
2026-01-10T04:28:00.816157,2026-01-10T04:28:00.605438,128,145,97,0.97,0.378,running,Stress,1.0,1.0
2026-01-10T04:28:01.069223,2026-01-10T04:28:00.930065,132,145,96,0.97,1.195,running,Stress,1.0,1.0
2026-01-10T04:28:01.328195,2026-01-10T04:28:01.254735,131,153,97,0.97,0.671,running,Stress,1.0,1.0
2026-01-10T04:28:01.582794,2026-01-10T04:28:01.580447,128,146,93,0.97,0.762,running,,,
2026-01-10T04:28:01.844926,2026-01-10T04:28:01.580447,128,146,93,0.97,0.762,running,Stress,1.0,1.0
2026-01-10T04:28:02.104349,2026-01-10T04:28:01.913660,131,151,91,0.97,1.003,running,Stress,1.0,1.0
2026-01-10T04:28:02.368437,2026-01-10T04:28:02.248125,132,149,94,0.97,1.167,running,Stress,1.0,1.0
2026-01-10T04:28:02.624949,2026-01-10T04:28:02.576373,130,143,90,0.893,0.761,running,,,
2026-01-10T04:28:02.889766,2026-01-10T04:28:02.576373,130,143,90,0.893,0.761,running,Stress,1.0,1.0
